# Region type : patch heater_to_fins
# Faces  :    241
# Area   :    1.550025e-04
# Time        	areaAverage(T)
521           	3.087668e+02
522           	3.087692e+02
523           	3.087717e+02
524           	3.087741e+02
525           	3.087765e+02
526           	3.087789e+02
527           	3.087813e+02
528           	3.087837e+02
529           	3.087861e+02
530           	3.087885e+02
531           	3.087908e+02
532           	3.087932e+02
533           	3.087955e+02
534           	3.087979e+02
535           	3.088002e+02
536           	3.088025e+02
537           	3.088048e+02
538           	3.088071e+02
539           	3.088094e+02
540           	3.088117e+02
541           	3.088139e+02
542           	3.088162e+02
543           	3.088185e+02
544           	3.088207e+02
545           	3.088229e+02
546           	3.088252e+02
547           	3.088274e+02
548           	3.088296e+02
549           	3.088318e+02
550           	3.088340e+02
551           	3.088362e+02
552           	3.088384e+02
553           	3.088405e+02
554           	3.088427e+02
555           	3.088448e+02
556           	3.088470e+02
557           	3.088491e+02
558           	3.088513e+02
559           	3.088534e+02
560           	3.088555e+02
561           	3.088576e+02
562           	3.088597e+02
563           	3.088618e+02
564           	3.088638e+02
565           	3.088659e+02
566           	3.088680e+02
567           	3.088700e+02
568           	3.088721e+02
569           	3.088741e+02
570           	3.088761e+02
571           	3.088781e+02
572           	3.088802e+02
573           	3.088822e+02
574           	3.088842e+02
575           	3.088861e+02
576           	3.088881e+02
577           	3.088901e+02
578           	3.088921e+02
579           	3.088940e+02
580           	3.088960e+02
581           	3.088979e+02
582           	3.088998e+02
583           	3.089018e+02
584           	3.089037e+02
585           	3.089056e+02
586           	3.089075e+02
587           	3.089094e+02
588           	3.089113e+02
589           	3.089131e+02
590           	3.089150e+02
591           	3.089169e+02
592           	3.089187e+02
593           	3.089206e+02
594           	3.089224e+02
595           	3.089242e+02
596           	3.089261e+02
597           	3.089279e+02
598           	3.089297e+02
599           	3.089315e+02
600           	3.089333e+02
601           	3.089351e+02
602           	3.089369e+02
603           	3.089386e+02
604           	3.089404e+02
605           	3.089422e+02
606           	3.089439e+02
607           	3.089456e+02
608           	3.089474e+02
609           	3.089491e+02
610           	3.089508e+02
611           	3.089526e+02
612           	3.089543e+02
613           	3.089560e+02
614           	3.089577e+02
615           	3.089594e+02
616           	3.089610e+02
617           	3.089627e+02
618           	3.089644e+02
619           	3.089660e+02
620           	3.089677e+02
621           	3.089693e+02
622           	3.089710e+02
623           	3.089726e+02
624           	3.089742e+02
625           	3.089759e+02
626           	3.089775e+02
627           	3.089791e+02
628           	3.089807e+02
629           	3.089823e+02
630           	3.089838e+02
631           	3.089854e+02
632           	3.089870e+02
633           	3.089886e+02
634           	3.089901e+02
635           	3.089917e+02
636           	3.089932e+02
637           	3.089947e+02
638           	3.089963e+02
639           	3.089978e+02
640           	3.089993e+02
641           	3.090008e+02
642           	3.090023e+02
643           	3.090038e+02
644           	3.090053e+02
645           	3.090068e+02
646           	3.090082e+02
647           	3.090097e+02
648           	3.090112e+02
649           	3.090126e+02
650           	3.090141e+02
651           	3.090155e+02
652           	3.090169e+02
653           	3.090184e+02
654           	3.090198e+02
655           	3.090212e+02
656           	3.090226e+02
657           	3.090240e+02
658           	3.090254e+02
659           	3.090267e+02
660           	3.090281e+02
661           	3.090295e+02
662           	3.090308e+02
663           	3.090322e+02
664           	3.090335e+02
665           	3.090349e+02
666           	3.090362e+02
667           	3.090375e+02
668           	3.090389e+02
669           	3.090402e+02
670           	3.090415e+02
671           	3.090428e+02
672           	3.090441e+02
673           	3.090454e+02
674           	3.090466e+02
