# Region      : all 
# Cells       : 298902
# Volume      : 2.872800e-05
# Time        	max(T)
417           	3.087329e+02
418           	3.087364e+02
419           	3.087400e+02
420           	3.087435e+02
421           	3.087471e+02
422           	3.087506e+02
423           	3.087541e+02
424           	3.087576e+02
425           	3.087611e+02
426           	3.087646e+02
427           	3.087680e+02
428           	3.087715e+02
429           	3.087749e+02
430           	3.087784e+02
431           	3.087818e+02
432           	3.087852e+02
433           	3.087886e+02
434           	3.087920e+02
435           	3.087954e+02
436           	3.087987e+02
437           	3.088021e+02
438           	3.088054e+02
439           	3.088087e+02
440           	3.088121e+02
441           	3.088154e+02
442           	3.088187e+02
443           	3.088219e+02
444           	3.088252e+02
445           	3.088285e+02
446           	3.088317e+02
447           	3.088350e+02
448           	3.088382e+02
449           	3.088414e+02
450           	3.088446e+02
451           	3.088478e+02
452           	3.088510e+02
453           	3.088541e+02
454           	3.088573e+02
455           	3.088604e+02
456           	3.088636e+02
457           	3.088667e+02
458           	3.088698e+02
459           	3.088729e+02
460           	3.088760e+02
461           	3.088791e+02
462           	3.088821e+02
463           	3.088852e+02
464           	3.088883e+02
465           	3.088913e+02
466           	3.088943e+02
467           	3.088973e+02
468           	3.089003e+02
469           	3.089033e+02
470           	3.089063e+02
471           	3.089093e+02
472           	3.089122e+02
473           	3.089152e+02
474           	3.089181e+02
475           	3.089210e+02
476           	3.089239e+02
477           	3.089268e+02
478           	3.089297e+02
479           	3.089326e+02
480           	3.089354e+02
481           	3.089383e+02
482           	3.089411e+02
483           	3.089440e+02
484           	3.089468e+02
485           	3.089496e+02
486           	3.089524e+02
487           	3.089552e+02
488           	3.089580e+02
489           	3.089608e+02
490           	3.089635e+02
491           	3.089663e+02
492           	3.089690e+02
493           	3.089718e+02
494           	3.089745e+02
495           	3.089772e+02
496           	3.089799e+02
497           	3.089826e+02
498           	3.089853e+02
499           	3.089880e+02
500           	3.089906e+02
501           	3.089933e+02
502           	3.089959e+02
503           	3.089985e+02
504           	3.090012e+02
505           	3.090038e+02
506           	3.090064e+02
507           	3.090090e+02
508           	3.090116e+02
509           	3.090141e+02
510           	3.090167e+02
511           	3.090192e+02
512           	3.090218e+02
513           	3.090243e+02
514           	3.090268e+02
515           	3.090294e+02
516           	3.090319e+02
517           	3.090344e+02
518           	3.090368e+02
519           	3.090393e+02
520           	3.090418e+02
521           	3.090443e+02
522           	3.090467e+02
523           	3.090491e+02
524           	3.090516e+02
525           	3.090540e+02
526           	3.090564e+02
527           	3.090588e+02
528           	3.090612e+02
529           	3.090636e+02
530           	3.090660e+02
531           	3.090683e+02
532           	3.090707e+02
533           	3.090730e+02
534           	3.090754e+02
535           	3.090777e+02
536           	3.090800e+02
537           	3.090823e+02
538           	3.090846e+02
539           	3.090869e+02
540           	3.090892e+02
541           	3.090915e+02
542           	3.090937e+02
543           	3.090960e+02
544           	3.090982e+02
545           	3.091005e+02
546           	3.091027e+02
547           	3.091049e+02
548           	3.091071e+02
549           	3.091093e+02
550           	3.091115e+02
551           	3.091137e+02
552           	3.091159e+02
553           	3.091181e+02
554           	3.091203e+02
555           	3.091224e+02
556           	3.091246e+02
557           	3.091267e+02
558           	3.091288e+02
559           	3.091309e+02
560           	3.091331e+02
561           	3.091352e+02
562           	3.091373e+02
563           	3.091393e+02
564           	3.091414e+02
565           	3.091435e+02
566           	3.091456e+02
567           	3.091476e+02
568           	3.091497e+02
569           	3.091517e+02
570           	3.091537e+02
571           	3.091557e+02
572           	3.091578e+02
573           	3.091598e+02
574           	3.091618e+02
575           	3.091637e+02
576           	3.091657e+02
577           	3.091677e+02
578           	3.091697e+02
579           	3.091716e+02
580           	3.091736e+02
581           	3.091755e+02
582           	3.091774e+02
583           	3.091794e+02
584           	3.091813e+02
585           	3.091832e+02
586           	3.091851e+02
587           	3.091870e+02
588           	3.091889e+02
589           	3.091908e+02
590           	3.091926e+02
591           	3.091945e+02
592           	3.091964e+02
593           	3.091982e+02
594           	3.092000e+02
595           	3.092019e+02
596           	3.092037e+02
597           	3.092055e+02
598           	3.092073e+02
599           	3.092091e+02
600           	3.092109e+02
601           	3.092127e+02
602           	3.092145e+02
603           	3.092163e+02
604           	3.092181e+02
605           	3.092198e+02
606           	3.092216e+02
607           	3.092233e+02
608           	3.092251e+02
609           	3.092268e+02
610           	3.092285e+02
611           	3.092302e+02
