# Region      : all 
# Cells       : 2808
# Volume      : 3.875062e-07
# Time        	max(T)
586           	3.102260e+02
587           	3.102279e+02
588           	3.102298e+02
589           	3.102317e+02
590           	3.102335e+02
591           	3.102354e+02
592           	3.102373e+02
593           	3.102391e+02
594           	3.102410e+02
595           	3.102428e+02
596           	3.102446e+02
597           	3.102464e+02
598           	3.102483e+02
599           	3.102501e+02
600           	3.102519e+02
601           	3.102537e+02
602           	3.102554e+02
603           	3.102572e+02
604           	3.102590e+02
605           	3.102608e+02
606           	3.102625e+02
607           	3.102643e+02
608           	3.102660e+02
609           	3.102678e+02
610           	3.102695e+02
611           	3.102712e+02
612           	3.102729e+02
613           	3.102746e+02
614           	3.102763e+02
615           	3.102780e+02
616           	3.102797e+02
617           	3.102814e+02
618           	3.102831e+02
619           	3.102847e+02
620           	3.102864e+02
621           	3.102880e+02
622           	3.102897e+02
623           	3.102913e+02
624           	3.102930e+02
625           	3.102946e+02
626           	3.102962e+02
627           	3.102978e+02
628           	3.102994e+02
629           	3.103010e+02
630           	3.103026e+02
631           	3.103042e+02
632           	3.103058e+02
633           	3.103073e+02
634           	3.103089e+02
635           	3.103104e+02
636           	3.103120e+02
637           	3.103135e+02
638           	3.103151e+02
639           	3.103166e+02
640           	3.103181e+02
641           	3.103196e+02
642           	3.103211e+02
643           	3.103226e+02
644           	3.103241e+02
645           	3.103256e+02
646           	3.103271e+02
647           	3.103286e+02
648           	3.103300e+02
649           	3.103315e+02
650           	3.103329e+02
651           	3.103344e+02
652           	3.103358e+02
653           	3.103372e+02
654           	3.103387e+02
655           	3.103401e+02
656           	3.103415e+02
657           	3.103429e+02
658           	3.103443e+02
659           	3.103457e+02
660           	3.103470e+02
661           	3.103484e+02
662           	3.103498e+02
663           	3.103511e+02
664           	3.103525e+02
665           	3.103538e+02
666           	3.103552e+02
667           	3.103565e+02
668           	3.103578e+02
669           	3.103591e+02
670           	3.103605e+02
671           	3.103618e+02
672           	3.103631e+02
673           	3.103643e+02
674           	3.103656e+02
675           	3.103669e+02
676           	3.103682e+02
677           	3.103695e+02
678           	3.103707e+02
679           	3.103720e+02
680           	3.103732e+02
681           	3.103745e+02
682           	3.103757e+02
683           	3.103769e+02
684           	3.103781e+02
685           	3.103794e+02
686           	3.103806e+02
687           	3.103818e+02
688           	3.103830e+02
689           	3.103842e+02
690           	3.103853e+02
691           	3.103865e+02
692           	3.103877e+02
693           	3.103889e+02
694           	3.103900e+02
695           	3.103912e+02
696           	3.103923e+02
697           	3.103935e+02
698           	3.103946e+02
699           	3.103958e+02
700           	3.103969e+02
701           	3.103980e+02
702           	3.103991e+02
703           	3.104002e+02
704           	3.104014e+02
705           	3.104025e+02
706           	3.104036e+02
707           	3.104046e+02
708           	3.104057e+02
709           	3.104068e+02
710           	3.104079e+02
711           	3.104090e+02
712           	3.104100e+02
713           	3.104111e+02
714           	3.104121e+02
715           	3.104132e+02
716           	3.104142e+02
717           	3.104153e+02
718           	3.104163e+02
719           	3.104173e+02
720           	3.104183e+02
721           	3.104194e+02
722           	3.104204e+02
723           	3.104214e+02
724           	3.104224e+02
725           	3.104234e+02
726           	3.104244e+02
727           	3.104253e+02
728           	3.104263e+02
729           	3.104273e+02
730           	3.104283e+02
731           	3.104292e+02
732           	3.104302e+02
733           	3.104312e+02
734           	3.104321e+02
735           	3.104331e+02
736           	3.104340e+02
737           	3.104349e+02
738           	3.104359e+02
739           	3.104368e+02
740           	3.104377e+02
741           	3.104387e+02
742           	3.104396e+02
743           	3.104405e+02
744           	3.104414e+02
745           	3.104423e+02
746           	3.104432e+02
747           	3.104441e+02
748           	3.104450e+02
749           	3.104459e+02
750           	3.104468e+02
751           	3.104477e+02
752           	3.104485e+02
753           	3.104494e+02
754           	3.104503e+02
755           	3.104512e+02
756           	3.104520e+02
757           	3.104529e+02
758           	3.104537e+02
759           	3.104546e+02
760           	3.104554e+02
761           	3.104563e+02
762           	3.104571e+02
763           	3.104580e+02
764           	3.104588e+02
765           	3.104596e+02
766           	3.104605e+02
767           	3.104613e+02
768           	3.104621e+02
769           	3.104629e+02
770           	3.104638e+02
771           	3.104646e+02
772           	3.104654e+02
773           	3.104662e+02
774           	3.104670e+02
775           	3.104678e+02
776           	3.104686e+02
777           	3.104694e+02
778           	3.104702e+02
779           	3.104710e+02
780           	3.104718e+02
781           	3.104726e+02
782           	3.104733e+02
783           	3.104741e+02
784           	3.104749e+02
785           	3.104757e+02
786           	3.104764e+02
787           	3.104772e+02
788           	3.104780e+02
789           	3.104787e+02
790           	3.104795e+02
791           	3.104802e+02
792           	3.104810e+02
793           	3.104817e+02
794           	3.104825e+02
795           	3.104832e+02
796           	3.104839e+02
797           	3.104847e+02
798           	3.104854e+02
799           	3.104861e+02
800           	3.104868e+02
801           	3.104875e+02
802           	3.104882e+02
803           	3.104890e+02
804           	3.104897e+02
805           	3.104903e+02
806           	3.104910e+02
807           	3.104917e+02
808           	3.104924e+02
809           	3.104931e+02
810           	3.104938e+02
811           	3.104944e+02
812           	3.104951e+02
813           	3.104957e+02
814           	3.104964e+02
815           	3.104970e+02
816           	3.104977e+02
817           	3.104983e+02
818           	3.104989e+02
819           	3.104996e+02
820           	3.105002e+02
821           	3.105008e+02
822           	3.105014e+02
823           	3.105020e+02
